iter	RMSE
0	1.107794284
1	1.071101151
2	1.03676777
3	1.005101832
4	0.9771299574
5	0.9499426166
6	0.9245691453
7	0.9016525034
8	0.8817527879
9	0.8603186655
10	0.842033923
11	0.8246097663
12	0.8085654967
13	0.7941336231
14	0.7810544239
15	0.7690361792
16	0.7570316863
17	0.7456634795
18	0.7360584684
19	0.7266336976
20	0.7175437489
21	0.7097733868
22	0.7009810014
23	0.691294705
24	0.683308755
25	0.6766934003
26	0.6701201608
27	0.664678006
28	0.6575792088
29	0.652430522
30	0.6482869769
31	0.6429190096
32	0.6387230393
33	0.6332245725
34	0.6276570924
35	0.6243863618
36	0.6189852804
37	0.6159283338
38	0.6117000913
39	0.6094552788
40	0.6070005044
41	0.6044887104
42	0.6009516435
43	0.5980268682
44	0.5961812445
45	0.5938559589
46	0.5918614362
47	0.5891588637
48	0.5866719121
49	0.5843822861
50	0.581988874
51	0.5786660103
52	0.5759750416
53	0.5743591983
54	0.5715495096
55	0.5703387227
56	0.5685932564
57	0.5662322542
58	0.5647026218
59	0.5627367543
60	0.5613433125
61	0.5600168728
62	0.5576898414
63	0.5557900298
64	0.5543511391
65	0.5525983769
66	0.5514360306
67	0.5503094379
68	0.5491957908
69	0.5482526205
70	0.5476749368
71	0.5464212961
72	0.5454876492
73	0.5448024467
74	0.5439905844
75	0.5430526181
76	0.5422171015
77	0.5410356432
78	0.5397324785
79	0.5386725093
80	0.536987838
81	0.5358632932
82	0.5351498573
83	0.5334255396
84	0.5327383882
85	0.5322502189
86	0.5315266786
87	0.5310803822
88	0.5303724769
89	0.5299196662
90	0.5293087966
91	0.5283236534
92	0.527575878
93	0.526891478
94	0.5262344729
95	0.5246741257
96	0.5240564929
97	0.5232643336
98	0.5218094961
99	0.5211616209
100	0.5207155284
101	0.520387416
102	0.5198495567
103	0.5190549568
104	0.5185114217
105	0.5179188469
106	0.5174247499
107	0.5165727212
108	0.5159131785
109	0.5152488647
110	0.514561962
111	0.5140281986
112	0.513378084
113	0.5126392991
114	0.5122146193
115	0.5117350407
116	0.5114805801
117	0.5108957927
118	0.5105429277
119	0.5100087803
120	0.509438069
121	0.5088442529
122	0.5081286312
123	0.5073086443
124	0.5067157538
125	0.5063344326
126	0.5055162054
127	0.504705413
128	0.504219849
129	0.5038495752
130	0.5032639295
131	0.5027837831
132	0.5021784057
133	0.5015788271
134	0.501000881
135	0.5001234295
136	0.4998263778
137	0.4995136662
138	0.4986749452
139	0.4983053484
140	0.4978681419
141	0.4972099054
142	0.4966788929
143	0.4959515427
144	0.4954332355
145	0.4951521369
146	0.4946640696
147	0.4941966051
148	0.49381557
149	0.4931426063
150	0.4926224989
151	0.4922136949
152	0.4914812656
153	0.4912473949
154	0.490833956
155	0.490313295
156	0.4898135959
157	0.4892834893
158	0.4888258883
159	0.4884300281
160	0.4879054392
161	0.4874738833
162	0.4869772239
163	0.4864168809
164	0.4858336331
165	0.4852654602
166	0.4844864428
167	0.4840600194
168	0.4837445095
169	0.4831933353
170	0.4829226655
171	0.4825581473
172	0.4820919603
173	0.4816496639
174	0.4812359288
175	0.4809302691
176	0.4805025701
177	0.480182683
178	0.4797336776
179	0.4792993149
180	0.4788366447
181	0.4778326317
182	0.4774937193
183	0.4766775593
184	0.4762776598
185	0.4759194894
186	0.4754817122
187	0.4751137038
188	0.4746735547
189	0.4741933763
190	0.4737075462
191	0.4733853715
192	0.4731101386
193	0.4728339978
194	0.4725012872
195	0.4722035215
196	0.4718922742
197	0.4714661607
198	0.4709875576
199	0.4706115772
200	0.4702345254
201	0.4699246576
202	0.4695500308
203	0.4690636066
204	0.4688510048
205	0.4685185537
206	0.4682084385
207	0.4675561233
208	0.4671821376
209	0.4665508527
210	0.4661679999
