iter	Passed	Remaining
0	142	142817
1	145	72508
2	147	49032
3	149	37277
4	151	30242
5	154	25527
6	156	22202
7	158	19689
8	160	17712
9	163	16144
10	165	14839
11	167	13761
12	169	12847
13	171	12099
14	176	11577
15	179	11069
16	183	10605
17	194	10601
18	201	10403
19	235	11553
20	240	11189
21	245	10903
22	248	10547
23	251	10209
24	253	9897
25	260	9751
26	265	9557
27	269	9348
28	274	9177
29	276	8941
30	279	8727
31	281	8515
32	285	8369
33	289	8214
34	292	8058
35	294	7889
36	296	7726
37	304	7703
38	312	7690
39	318	7641
40	321	7523
41	324	7403
42	327	7279
43	329	7161
44	332	7047
45	334	6940
46	337	6836
47	340	6746
48	342	6648
49	345	6555
50	347	6469
51	350	6386
52	352	6304
53	355	6232
54	358	6156
55	360	6083
56	363	6010
57	365	5936
58	367	5867
59	370	5803
60	372	5740
61	375	5680
62	377	5619
63	380	5560
64	382	5501
65	384	5443
66	387	5393
67	389	5345
68	392	5295
69	394	5245
70	397	5195
71	399	5146
72	401	5102
73	404	5059
74	406	5017
75	409	4973
76	411	4932
77	413	4892
78	416	4853
79	419	4818
80	421	4781
81	423	4744
82	426	4712
83	429	4679
84	431	4645
85	434	4612
86	436	4580
87	438	4545
88	440	4511
89	442	4478
90	445	4447
91	447	4418
92	450	4390
93	452	4359
94	454	4331
95	456	4302
96	459	4274
97	461	4246
98	463	4219
99	465	4192
100	467	4164
101	470	4138
102	472	4112
103	474	4087
104	476	4062
105	479	4040
106	481	4019
107	483	3996
108	486	3973
109	488	3952
110	490	3931
111	493	3910
112	495	3892
113	498	3872
114	500	3852
115	502	3832
116	506	3826
117	509	3811
118	512	3792
119	514	3772
120	516	3753
121	518	3734
122	521	3715
123	523	3698
124	525	3680
125	528	3663
126	530	3646
127	533	3631
128	535	3614
129	537	3598
130	540	3583
131	542	3567
132	544	3551
133	547	3536
134	549	3520
135	551	3504
136	554	3491
137	556	3477
138	559	3463
139	561	3447
140	563	3433
141	565	3419
142	568	3408
143	571	3394
144	573	3381
145	575	3367
146	578	3354
147	580	3342
148	583	3331
149	586	3321
150	589	3312
151	591	3301
152	594	3291
153	597	3280
154	600	3272
155	602	3261
156	605	3249
157	607	3237
158	609	3225
159	612	3214
160	614	3204
161	617	3191
162	619	3180
163	621	3168
164	623	3156
165	626	3145
166	628	3135
167	630	3124
168	632	3112
169	635	3101
170	637	3090
171	639	3079
172	642	3069
173	644	3059
174	646	3048
175	648	3037
176	650	3026
177	653	3016
178	655	3006
179	657	2996
180	660	2986
181	662	2976
182	664	2965
183	666	2955
184	668	2945
185	670	2935
186	672	2925
187	674	2914
188	676	2904
189	679	2894
190	681	2884
191	683	2875
192	685	2867
193	687	2857
194	689	2847
195	691	2838
196	694	2829
197	696	2820
198	698	2811
199	700	2802
200	702	2792
201	704	2783
202	706	2774
203	708	2765
204	710	2756
205	713	2748
206	715	2739
207	717	2730
208	719	2721
209	721	2712
210	723	2704
211	725	2695
212	727	2686
213	729	2680
214	731	2672
215	733	2663
216	735	2655
217	737	2647
218	739	2638
219	741	2630
220	744	2623
221	746	2614
222	747	2606
223	750	2598
224	752	2590
225	754	2583
226	756	2575
227	758	2568
228	760	2560
229	762	2552
230	764	2545
231	766	2538
232	768	2530
233	770	2523
234	772	2515
235	775	2509
236	777	2501
237	779	2494
238	781	2487
239	783	2480
240	785	2473
241	787	2466
242	789	2459
243	792	2453
244	793	2446
245	796	2440
246	798	2433
247	800	2426
248	802	2419
249	804	2412
250	806	2407
251	808	2400
252	810	2394
253	813	2387
254	815	2381
255	817	2374
256	819	2369
257	822	2364
258	824	2359
259	827	2354
260	829	2347
261	831	2341
262	833	2335
263	835	2329
264	837	2324
265	840	2318
266	842	2311
267	844	2305
268	846	2299
269	848	2292
270	850	2286
271	853	2283
272	856	2279
273	858	2274
274	861	2270
275	863	2264
276	865	2258
277	867	2252
278	869	2246
279	871	2240
280	873	2234
281	875	2228
282	877	2222
283	879	2216
284	881	2210
285	883	2205
286	885	2199
287	887	2193
288	889	2187
289	891	2181
290	893	2175
291	894	2169
292	896	2163
293	898	2158
294	900	2152
295	902	2147
296	905	2142
297	907	2137
298	909	2132
299	911	2126
300	913	2121
301	915	2116
302	917	2110
303	919	2105
304	921	2099
305	923	2094
306	925	2089
307	927	2083
308	929	2078
309	931	2073
310	933	2068
311	935	2063
312	937	2058
313	939	2052
314	941	2047
315	943	2042
316	945	2038
317	948	2033
318	950	2028
319	952	2023
320	954	2019
321	956	2014
322	958	2009
323	961	2005
324	963	2000
325	965	1995
326	967	1990
327	969	1985
328	971	1980
329	973	1976
330	975	1971
331	977	1967
332	979	1962
333	982	1958
334	984	1953
335	986	1948
336	988	1944
337	990	1940
338	992	1935
339	995	1931
340	997	1927
341	999	1922
342	1001	1918
343	1003	1913
344	1005	1909
345	1007	1904
346	1009	1900
347	1012	1896
348	1014	1891
349	1016	1887
350	1018	1882
351	1020	1878
352	1022	1874
353	1025	1870
354	1027	1866
355	1029	1862
356	1031	1857
357	1033	1853
358	1035	1849
359	1037	1845
360	1040	1841
361	1042	1837
362	1044	1832
363	1046	1828
364	1048	1824
365	1051	1820
366	1053	1816
367	1055	1812
368	1057	1808
369	1059	1804
370	1061	1799
371	1063	1795
372	1065	1791
373	1067	1786
374	1069	1782
375	1071	1778
376	1073	1774
377	1076	1770
378	1078	1766
379	1080	1762
380	1082	1758
381	1085	1755
382	1087	1751
383	1089	1747
384	1091	1743
385	1093	1739
386	1095	1735
387	1098	1731
388	1099	1727
389	1102	1723
390	1104	1720
391	1106	1716
392	1108	1712
393	1110	1708
394	1113	1704
395	1115	1701
396	1117	1697
397	1119	1693
398	1121	1689
399	1123	1685
400	1125	1681
401	1128	1678
402	1130	1674
403	1132	1670
404	1134	1667
405	1136	1663
406	1138	1659
407	1140	1655
408	1142	1651
409	1144	1647
410	1146	1643
411	1149	1639
412	1151	1636
413	1153	1632
414	1155	1629
415	1157	1625
416	1159	1621
417	1161	1617
418	1164	1614
419	1166	1610
420	1168	1607
421	1170	1603
422	1173	1600
423	1175	1596
424	1177	1592
425	1179	1589
426	1181	1585
427	1183	1582
428	1186	1578
429	1188	1575
430	1190	1571
431	1192	1567
432	1194	1563
433	1196	1560
434	1198	1556
435	1200	1553
436	1202	1549
437	1204	1545
438	1206	1541
439	1208	1538
440	1211	1535
441	1213	1531
442	1215	1528
443	1217	1524
444	1219	1521
445	1221	1517
446	1223	1514
447	1226	1510
448	1228	1507
449	1230	1504
450	1232	1500
451	1234	1497
452	1236	1493
453	1238	1490
454	1241	1486
455	1243	1483
456	1245	1480
457	1247	1476
458	1249	1473
459	1252	1469
460	1254	1466
461	1256	1463
462	1258	1460
463	1261	1456
464	1263	1453
465	1265	1450
466	1267	1446
467	1269	1443
468	1271	1439
469	1274	1436
470	1276	1433
471	1278	1430
472	1280	1426
473	1282	1423
474	1284	1420
475	1287	1416
476	1289	1413
477	1291	1410
478	1294	1407
479	1296	1404
480	1298	1401
481	1300	1397
482	1303	1394
483	1305	1391
484	1307	1388
485	1309	1384
486	1311	1381
487	1313	1378
488	1315	1375
489	1318	1372
490	1320	1368
491	1322	1365
492	1324	1362
493	1326	1358
494	1328	1355
495	1330	1352
496	1333	1349
497	1335	1346
498	1337	1342
499	1339	1339
500	1341	1336
501	1343	1333
502	1345	1329
503	1348	1326
504	1350	1323
505	1352	1320
506	1354	1316
507	1356	1313
508	1358	1310
509	1360	1307
510	1362	1304
511	1364	1300
512	1366	1297
513	1369	1294
